"ServerName","avg_speed","sd_speed","location_entropy","win_rate","serve_efficiency","n_serves","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"elina svitolina",81.9753694581281,4.71088735166239,2.31675651805711,0.463054187192118,0.251231527093596,203,0.00459487970954944,-0.0205369316037211,-0.019040608640962,0.246636647384047,0.271768458697317,0.270272135734558,-0.726200619029107
"elise mertens",86.5390625,6.22403563506943,2.81642211961322,0.5234375,0.3046875,128,0.0239857582769903,0.00934341385993132,0.0474677979946136,0.28070174172301,0.295344086140069,0.257219702005386,0.364524964750036
"emma navarro",81.7910447761194,6.20248560496378,2.65823674126987,0.432835820895522,0.17910447761194,67,-0.0855129585806128,-0.100938389202559,-0.10790854647978,0.264617436192553,0.2800428668145,0.287013024091721,-0.24539911770744
"emma raducanu",87.7592592592593,5.25712241571925,2.66136029164498,0.512345679012346,0.277777777777778,162,-0.0133141673498468,-0.0194433926174788,0.0273149477110969,0.291091945127625,0.297221170395257,0.250462830066681,0.192557397610616
"fiona ferro",83.1904761904762,4.36599413214273,2.09998573290173,0.0476190476190476,0,21,-0.285993039615331,-0.28354148121757,-0.252472251653671,0.285993039615331,0.28354148121757,0.252472251653671,-0.68855621047725
"garbine muguruza",84.0422535211268,4.22724705999512,2.63036137742001,0.408450704225352,0.23943661971831,71,-0.0288806976490856,-0.0534787992876427,-0.0570927329466377,0.268317317367395,0.292915419005953,0.296529352664948,-0.627344737701283
"greet minnen",85.3111111111111,4.16054095161927,2.67117833912942,0.422222222222222,0.266666666666667,45,0.00728149392525729,-0.0311679335872891,-0.0289071639378866,0.259385172741409,0.297834600253956,0.295573830604553,-0.488843959477681
"harmony tan",79.2857142857143,6.75453132199348,2.62042122218563,0.428571428571429,0.214285714285714,42,-0.0475964804941636,-0.0732853377623277,-0.0741596392222813,0.261882194779878,0.287571052048042,0.288445353507996,-0.376781867925401
"harriet dart",75.5151515151515,7.95357219517688,2.53207732932906,0.454545454545455,0.265151515151515,132,0.0248100246952439,-0.0240059489829269,-0.0718507622227524,0.240341490456271,0.289157464134442,0.337002277374268,-0.4500533170558
"heather watson",76.679012345679,7.1183340053938,2.45288560632181,0.37037037037037,0.197530864197531,81,-0.0391851386273133,-0.0765314022822777,-0.0600918546135043,0.236716002824844,0.274062266479809,0.257622718811035,-0.584661900838974
