"ServerName","avg_speed","sd_speed","location_entropy","win_rate","n_serves","overperf_lm","overperf_glm","overperf_rf","pred_lm","pred_glm","pred_rf","rf_weighted_baseline"
"anna kalinskaya",98.1147540983606,6.75055148526335,2.83577400592527,0.524590163934426,61,-0.0243490644758234,-0.21029350659032,-0.0227202813219979,0.54893922841025,0.734883670524746,0.547310445256424,0.0575349748636366
"arantxa rus",99.275,7.85766814760898,2.93837637173451,0.55,40,-0.00463662218496597,-0.25444457308264,0.00555666657400611,0.554636622184966,0.804444573082641,0.544443333425994,0.618939109628494
"aryna sabalenka",108.494680851064,6.10267468392936,2.8184419581803,0.638297872340426,376,0.0577418743285834,-0.221699677820346,0.0225176414775583,0.580555998011842,0.859997550160772,0.615780230862867,0.821168319590073
"ashleigh barty",102.446327683616,6.29291634272686,2.70975032536869,0.694915254237288,177,0.131198503546375,-0.0682555264430501,0.0743208501619905,0.563716750690913,0.763170780680338,0.620594404075298,0.974911032321642
"ashlyn krueger",104.722222222222,3.5665999103677,2.82381056362073,0.388888888888889,36,-0.170478404385106,-0.366162243161679,-0.080536504235522,0.559367293273995,0.755051132050568,0.469425393124411,-2.18953876276459
"barbora krejcikova",100.181628392484,5.22169563385126,2.86396660072619,0.617954070981211,479,0.0682231176958723,-0.11654158703738,0.0196382496208588,0.549730953285338,0.734495658018591,0.598315821360352,-1.38277404323564
"beatriz haddad maia",100.739361702128,9.74329022472549,3.08023311044104,0.627659574468085,188,0.0643535350327959,-0.253026535059234,0.049339492504289,0.563306039435289,0.880686109527319,0.578320081963796,1.72857270284956
"belinda bencic",98.6623376623377,7.63221500063535,2.83008997133291,0.567099567099567,231,0.013192026420354,-0.199141719018518,0.00534478391483273,0.553907540679213,0.766241286118085,0.561754783184734,1.03448450013283
"bernarda pera",97.7540983606557,6.38919853530138,2.80217684753575,0.475409836065574,61,-0.0717301853684821,-0.233921478115243,-0.0475689081282203,0.547140021434056,0.709331314180817,0.522978744193794,-0.122744215931326
"bianca andreescu",99.96875,7.01978995272595,2.96867097578002,0.57421875,256,0.0208475178762964,-0.227006575574264,-0.000655006054930407,0.553371232123704,0.801225325574264,0.57487375605493,-0.322894556101309
"brenda fruhvirtova",93.7090909090909,7.09113355424752,2.7171901678341,0.618181818181818,55,0.0800570245438288,-0.0107094016244318,0.0290381710844297,0.538124793637989,0.62889121980625,0.589143647097388,0.629231032745424
"camila giorgi",108.727272727273,5.14045157785213,2.79827316377895,0.545454545454545,55,-0.0328608020149788,-0.296240838798163,-0.0306802848748225,0.578315347469524,0.841695384252708,0.576134830329368,0.0321081051515616
"caroline dolehide",103.736842105263,10.2857421330729,3.18356351329184,0.407894736842105,76,-0.165055815327713,-0.514453206010549,-0.0685879692297864,0.572950552169818,0.922347942852654,0.476482706071892,1.95533428000312
"caroline garcia",102.685344827586,8.04909991268519,2.85770991832524,0.607758620689655,232,0.0399031455587493,-0.229294663094462,0.0202353812441383,0.567855475130906,0.837053283784117,0.587523239445517,1.76410465209155
"caroline wozniacki",99.2962962962963,9.36776311373135,2.46790209616886,0.37037037037037,27,-0.198501191578636,-0.364949259382396,-0.104753811715731,0.568871561949006,0.735319629752766,0.475124182086101,5.21840550806136
"caty mcnally",95.5897435897436,4.48223363442561,2.88771568028976,0.435897435897436,39,-0.0959467212107146,-0.195610149596212,-0.0347028082648545,0.53184415710815,0.631507585493648,0.47060024416229,-2.84084200068728
"clara burel",100.564102564103,5.08762622652084,2.93436159138248,0.538461538461538,39,-0.010708525241204,-0.21615453203781,-0.013001751500622,0.549170063702742,0.754616070499348,0.55146328996216,-1.93224570364351
"clara tauson",100.58064516129,7.31561887811909,2.56261677853469,0.612903225806452,31,0.0488589318306984,-0.110663952228939,0.0063027348259872,0.564044293975753,0.723567178035391,0.606600490980464,2.72474419396285
"coco gauff",106.551724137931,9.26366530321436,2.86380026015005,0.560344827586207,232,-0.0241544209754202,-0.336147092460997,-0.02420724957832,0.584499248561627,0.896491920047204,0.584552077164527,3.40472774394317
"cristina bucsa",98.9428571428571,4.83822316158986,2.92313995226667,0.485714285714286,35,-0.0575512191670512,-0.23146175708036,-0.0154748930081244,0.543265504881337,0.717176042794645,0.50118917872241,-2.3061322559943
"dalma galfi",103.415584415584,6.84480334835477,2.73301013296598,0.480519480519481,77,-0.0878271016410028,-0.316049946469076,-0.0517085405069932,0.568346582160483,0.796569426988557,0.532228021026474,1.48733034018306
"danielle collins",101.016129032258,5.41251192698931,2.89966264881793,0.580645161290323,248,0.0282203285206554,-0.181548085271153,-0.000920595065861396,0.552424832769667,0.762193246561475,0.581565756356184,-1.32602642632035
"daria kasatkina",90.3053097345133,11.160631927214,3.01527329572273,0.570796460176991,226,0.0350329489737695,-0.198128594144584,0.0403791902475991,0.535763511203222,0.768925054321575,0.530417269929392,2.26171135617846
"daria saville",99.4516129032258,7.80529183600212,2.64826265053642,0.483870967741935,31,-0.0766242355206901,-0.255937952503078,-0.0405495454227756,0.560495203262626,0.739808920245013,0.524420513164711,2.50334264948159
"dayana yastremska",103.958333333333,5.91116751652757,2.78731874127484,0.472222222222222,72,-0.093582197766178,-0.321716307119434,-0.0336117458564237,0.5658044199884,0.793938529341656,0.505833968078646,0.273642610196111
"diana shnaider",94.4468085106383,6.08565137322602,3.05200631507536,0.553191489361702,47,0.0225203168763476,-0.154228784069325,-0.00178059525005347,0.530671172485355,0.707420273431027,0.554972084611756,-2.4820892408559
"diane parry",98.3687943262411,6.28991408925856,2.79977118944628,0.524822695035461,141,-0.0240021288005723,-0.191987732035862,-0.0110471345775407,0.548824823836033,0.716810427071323,0.535869829613002,-0.128630571979734
"donna vekic",106.897338403042,4.99091852247894,2.70107775438786,0.661596958174905,263,0.087889476902662,-0.134528626550641,0.0521301911792491,0.573707481272243,0.796125584725546,0.609466766995656,0.298274676202189
"ekaterina alexandrova",108.54,4.15618545676446,2.77799319395778,0.6,50,0.0253580095138046,-0.215527224918971,0.0276979782626604,0.574641990486195,0.815527224918971,0.57230202173734,-0.830169860382483
"elena rybakina",108.715151515152,7.34892851757118,2.85009447808529,0.663636363636364,660,0.0785957537348314,-0.222842483985668,0.0363736511692956,0.585040609901532,0.886478847622032,0.627262712467068,1.87147411370805
"elina avanesyan",95.9428571428571,8.3382282542617,2.7091908911096,0.485714285714286,35,-0.0641553574193479,-0.223757998145541,-0.0219118853521444,0.549869643133634,0.709472283859827,0.50762617106643,2.19213313204624
"elina svitolina",101.058227848101,5.63565083227159,2.92035917836963,0.607594936708861,395,0.0546420907106041,-0.165783892989194,0.0249753142954442,0.552952845998257,0.773378829698055,0.582619622413417,-1.23681133582662
"elisabetta cocciaretto",98.7407407407407,4.21163765510422,2.75799317027852,0.444444444444444,27,-0.0990855361054648,-0.202979586809952,-0.0286940647694259,0.543529980549909,0.647424031254397,0.47313850921387,-1.86087235845563
