"ServerName","avg_speed","sd_speed","ace_pct","location_entropy","win_rate","n_serves","overperf_lm","overperf_glm","overperf_rf","pred_lm","pred_glm","pred_rf","rf_weighted_baseline"
"barbora krejcikova",86.4787878787879,6.44071261659828,0.0181818181818182,2.84753834302294,0.515151515151515,165,0.0116176228300205,0.0355380334913073,0.00703370792439029,0.503533892321495,0.479613481660208,0.508117807227125,0.953463264330783
"beatriz haddad maia",79.4034090909091,7.20331588508096,0.0113636363636364,2.67295066302883,0.505681818181818,176,0.0389886740720756,0.275012874419272,0.0176335494144214,0.466693144109743,0.230668943762546,0.488048268767397,-0.723989668705236
"belinda bencic",80.8163265306122,6.24269326948982,0,2.69423882919341,0.505102040816326,196,0.0295979065929797,0.186986124172638,0.0229305687484637,0.475504134223347,0.318115916643688,0.482171472067863,0.0247174430791022
"bernarda pera",82.0813008130081,5.7239695843193,0,2.75359660257281,0.479674796747967,123,-0.00523408497590211,0.105446099399987,0.00288848060335256,0.48490888172387,0.374228697347981,0.476786316144615,0.334718289724232
"bianca andreescu",83.1813186813187,5.48277890761745,0.00549450549450549,2.62857942354667,0.521978021978022,182,0.0363020751819544,0.108532876852057,0.0151060940532621,0.485675946796068,0.413445145125965,0.50687192792476,0.437385193107741
"camila giorgi",87.8333333333333,6.18266545372431,0,2.48465547404231,0.527777777777778,72,0.0357559819539717,-0.0732487753976747,0.0154830025707485,0.492021795823806,0.601026553175453,0.512294775207029,2.05154614737098
"caroline dolehide",81.1525423728814,6.95506156377729,0,2.62798191013786,0.457627118644068,59,-0.0129101569316095,0.141336200639162,-0.00605624282262446,0.470537275575677,0.316290918004905,0.463683361466692,0.189453946619293
"caroline garcia",84.2349397590361,6.66234891210691,0,2.74334003926265,0.469879518072289,166,-0.0176777560963803,0.0347028628237389,-0.00378755009418524,0.487557274168669,0.43517665524855,0.473667068166474,1.03061581494671
"caroline wozniacki",73.4666666666667,4.12090016644643,0,2.77363587511186,0.555555555555556,45,0.0925049619299163,0.406833816864948,0.0404481784643415,0.463050593625639,0.148721738690608,0.515107377091214,-2.2646263145731
"christina mchale",75.1851851851852,7.00020349724556,0,2.3649125016827,0.37037037037037,27,-0.068117159703753,0.215751488147485,-0.0458598569336199,0.438487530074123,0.154618882222885,0.41623022730399,-1.47791212396855
"claire liu",81.6875,6.42293019252619,0,2.49877812445913,0.4375,32,-0.0322232223656576,0.0854244406841818,-0.0315781594693524,0.469723222365658,0.352075559315818,0.469078159469352,0.313997961475148
"clara burel",74.0960451977401,10.0711579724993,0,2.59922069687645,0.451977401129944,177,0.0226256013961557,0.354511651813441,-1.76973691694005e-05,0.429351799733788,0.0974657493165026,0.451995098499113,-1.55996253213334
