"Estimate","Std. Error","z value","Pr(>|z|)","term","model","predictor","outcome","serve_type","n_servers","correlation"
-0.0882676518322279,0.0425997786306929,-2.07202137357192,0.0382634479787755,"(Intercept)","win_ace_rate_second","ace_rate","win","second",45,NA
0.0144016059908498,0.0434696421673168,0.331302611956576,0.7404159185567,"ace_rate_z","win_ace_rate_second","ace_rate","win","second",45,0.150546295091228
-0.088614596582724,0.0426695585577459,-2.07676384705971,0.0378233605084445,"(Intercept)","win_unreturned_rate_second","unreturned_rate","win","second",45,NA
-0.0125077972239231,0.0432177490070125,-0.289413435713499,0.772265014517158,"unreturned_rate_z","win_unreturned_rate_second","unreturned_rate","win","second",45,-0.115903310021569
-0.095427835516761,0.0435026964299327,-2.19360737030315,0.02826364810869,"(Intercept)","win_first_serve_points_won_second","first_serve_points_won","win","second",45,NA
0.0369663697711236,0.0429204233991546,0.861276913029049,0.389085547973446,"first_serve_points_won_z","win_first_serve_points_won_second","first_serve_points_won","win","second",45,0.157719202650586
-0.0882700707715598,0.0427026065305554,-2.06708859114722,0.0387258069380584,"(Intercept)","win_first_serve_in_pct_second","first_serve_in_pct","win","second",45,NA
-0.00583724385542194,0.0408261401473286,-0.142978097717717,0.886307478945167,"first_serve_in_pct_z","win_first_serve_in_pct_second","first_serve_in_pct","win","second",45,0.0379193390981172
-0.0878456049574478,0.0425886154440358,-2.0626546329707,0.03914545310284,"(Intercept)","win_random_effects_only_second","random_effects_only","win","second",45,NA
-0.00187920343558429,0.0438631433653082,-0.0428424251297633,0.965827144655699,"random_effects_only_z","win_random_effects_only_second","random_effects_only","win","second",45,-0.00012484579526726
-0.0822221493171168,0.0428620986421671,-1.91829499538849,0.0550736166545315,"(Intercept)","win_fixed_effects_only_second","fixed_effects_only","win","second",45,NA
0.0479967391747394,0.0420800511313784,1.14060553360281,0.254034113461443,"fixed_effects_only_z","win_fixed_effects_only_second","fixed_effects_only","win","second",45,0.215234905916496
-0.949049964766268,0.0476939771158479,-19.8987382088317,4.17301834286986e-88,"(Intercept)","eff_sqs_second","sqs","eff","second",45,NA
0.129342767375788,0.0471899479210693,2.74089659077667,0.00612717879025744,"SQS_z","eff_sqs_second","sqs","eff","second",45,0.330642238720037
-0.963023953213528,0.0477498712230539,-20.1680952963194,1.86691547701584e-90,"(Intercept)","eff_welo_second","welo","eff","second",45,NA
0.032862983773941,0.0525010102062135,0.625949551158383,0.531348031827216,"welo_z","eff_welo_second","welo","eff","second",45,0.120950707948153
-0.963052663851057,0.0476260557800677,-20.2211299692407,6.3804877986041e-91,"(Intercept)","eff_ace_rate_second","ace_rate","eff","second",45,NA
0.0593383247210288,0.0473938128373455,1.25202681887352,0.210560091722964,"ace_rate_z","eff_ace_rate_second","ace_rate","eff","second",45,0.221555209804675
-0.959968270820376,0.0476270001357039,-20.1559675832014,2.38549228880219e-90,"(Intercept)","eff_unreturned_rate_second","unreturned_rate","eff","second",45,NA
0.00682953418450232,0.0482493014737257,0.141546799143224,0.88743799180482,"unreturned_rate_z","eff_unreturned_rate_second","unreturned_rate","eff","second",45,-0.0475830389268578
-0.994277443842735,0.0494936929401384,-20.0889726504202,9.2149039075788e-90,"(Intercept)","eff_first_serve_points_won_second","first_serve_points_won","eff","second",45,NA
0.142697432829794,0.050009663023959,2.85339720768423,0.00432545189796809,"first_serve_points_won_z","eff_first_serve_points_won_second","first_serve_points_won","eff","second",45,0.35232797300691
-0.961690570373952,0.0477024955615828,-20.160173153466,2.19113947545752e-90,"(Intercept)","eff_first_serve_in_pct_second","first_serve_in_pct","eff","second",45,NA
-0.0153108726347674,0.045550689343094,-0.336128231110704,0.736774170351492,"first_serve_in_pct_z","eff_first_serve_in_pct_second","first_serve_in_pct","eff","second",45,-0.0482716431382826
-0.959988463970334,0.04758280781381,-20.17511172789,1.61997184221011e-90,"(Intercept)","eff_random_effects_only_second","random_effects_only","eff","second",45,NA
0.0975902098047399,0.0484816127110627,2.01293241597286,0.0441217397921759,"random_effects_only_z","eff_random_effects_only_second","random_effects_only","eff","second",45,0.177464920200531
-0.949049964646591,0.0476939771190889,-19.8987382049702,4.1730186643274e-88,"(Intercept)","eff_fixed_effects_only_second","fixed_effects_only","eff","second",45,NA
0.129342766817963,0.0471899479359937,2.74089657808898,0.00612717902684986,"fixed_effects_only_z","eff_fixed_effects_only_second","fixed_effects_only","eff","second",45,0.330642237154485
