year,ServerName,avg_speed,sd_speed,location_entropy,modal_location,n_serves,avg_speed_z,sd_speed_z,location_entropy_z,SQS_FE_logodds,SQS_FE_centered,SQS_percentile,SQS_rank,mean_percentile,mean_centered_sqs,years_present
2018,Daniil Medvedev,113.47863247863248,10.642787982704442,2.553912912066812,WW_DCTL,117,-0.6048776410758852,2.146494941380849,-1.199793790619045,-0.053852112222924464,0.06617920862003987,56.666666666666664,27,74.32910442621875,0.1481309581109696,6
2018,Grigor Dimitrov,120.51948051948052,7.958131210162858,2.5929651587609817,WW_DCTL,77,1.01767428272414,0.17527151550534822,-0.962065456559064,0.14874061657062426,0.2687719374135886,88.33333333333333,8,71.44253298803798,0.14512550424861134,6
2018,John Isner,123.8713768115942,8.420856890413594,2.6188463864478098,WC_DNCTL,552,1.7901133050684082,0.5150302921183089,-0.8045149527532164,0.26606820945891685,0.38609953030188116,95,4,88.48637636872931,0.3405538401024923,5
2018,Marin Cilic,115.06716417910448,9.241291581437267,2.3589879363065345,WW_DCTL,134,-0.23880310691966633,1.1174388006799896,-2.3863885112011762,0.07499977057393306,0.1950310914168974,76.66666666666667,15,83.735803412274,0.2615660146513365,5
2018,Matteo Berrettini,121.3157894736842,8.942205875098939,2.923273691972568,WC_DNCTL,95,1.2011823797724532,0.8978335398851479,1.0486689818749038,0.018881566450885928,0.13891288729385026,70,19,90.16722160562338,0.318243920202132,5
2018,Roger Federer,116.15953307392996,7.538043912788543,2.5552160098482615,WW_DCTL,257,0.012931519579233776,-0.1331798031013958,-1.191861256874513,-0.023341108687123358,0.09669021215584098,61.66666666666667,24,62.970269926152284,0.07447443799506388,5
2018,Sam Querrey,122.59154929577464,9.094075724320644,2.5423330010990544,WW_DCTL,71,1.4951791457345107,1.009344779434251,-1.270285841037718,0.2894569936137827,0.40948831445674705,96.66666666666667,3,94.78202189966896,0.39300905876499387,5
2018,Stefanos Tsitsipas,121.61578947368422,6.232256350207638,2.5590339838932716,WW_DCTL,190,1.2703168894673105,-1.0919612230962978,-1.1686195566898214,0.16701539403956486,0.2870467148825292,90,7,70.54102144002255,0.1308486437949635,6
2018,Taylor Fritz,125.20689655172414,7.3486874813449745,2.829445384133747,WC_DNCTL,87,2.0978816464740184,-0.27221576379456774,0.47749448620830504,0.1867057381091041,0.30673705895206843,91.66666666666666,6,76.41046984831668,0.18680022142097885,6
2019,Alexander Zverev,127.48684210526316,5.643860194471231,2.887688085907487,WC_DNCTL,76,2.623291373056966,-1.5239942106072655,0.8320436257816417,0.20764825783406754,0.2941482153156925,85.71428571428571,9,90.07487643427869,0.3057711386241796,7
2019,Daniil Medvedev,119.92792792792793,6.601255681806044,2.495855977110569,WW_DCTL,111,0.8813519548051083,-0.8210215134027701,-1.5532120852401519,0.13875662332611946,0.22525658080774444,82.14285714285714,11,74.32910442621875,0.1481309581109696,6
