year,ServerName,avg_speed,sd_speed,location_entropy,modal_location,n_serves,avg_speed_z,sd_speed_z,location_entropy_z,SQS_FE_logodds,SQS_FE_centered,SQS_percentile,SQS_rank,mean_percentile,years_present
2019,Maria Sakkari,103.08163265306122,7.1146466728089575,2.6193816641886767,WC_DNCTL,49,0.8143740588239372,0.2939269318946078,-1.5899598303383409,-0.0810108224235514,0.2764340644462868,90.47619047619048,7,73.3092731829574,5
2019,Ons Jabeur,100.60526315789474,6.5328255286924435,2.4713544870139295,WC_DNCTL,38,0.29105117076986337,-0.1362443635624352,-2.4498419290187696,-0.07444883240724154,0.2829960544625967,92.06349206349206,6,69.96160540239488,6
2019,Petra Kvitova,100.26618705035972,4.420924455045844,2.6430099521822705,WC_DNCTL,139,0.21939535033930532,-1.6976850741904215,-1.4527043462040183,-0.2497884428796966,0.10765644399014163,65.07936507936508,23,57.2208298524088,6
2021,Ajla Tomljanovic,102,4.826004826007239,2.46270470625279,WC_DNCTL,32,0.5857962456508937,-1.398187626043733,-2.5000880512239765,-0.060547629014306104,0.270079461519019,89.58333333333334,6,67.85183792815371,5
2021,Coco Gauff,106.2,10.5110018276228,2.6399430171994283,WC_DNCTL,70,1.4733682069907534,2.8050328130619273,-1.470520010461735,0.08319509060056582,0.4138221811338909,97.91666666666666,2,84.54356725146198,5
2021,Garbine Muguruza,100.45652173913044,5.252760746603702,2.7605877036934823,WC_DNCTL,92,0.25961814391626686,-1.0826642920031593,-0.7697013621760663,-0.30530763644179965,0.025319454091525473,45.83333333333333,27,47.50952380952381,5
2021,Katie Boulter,106.37037037037037,5.77991413495109,2.6344524380149887,WC_DNCTL,54,1.5093720078916635,-0.6929117739603395,-1.502414496610812,-0.0126398260975161,0.31798726443580905,95.83333333333334,3,74.12456140350878,5
2021,Madison Keys,102.50561797752809,7.7123330916161015,2.8602198148629556,WC_DNCTL,89,0.6926468027945364,0.7358282681648177,-0.19094366049246106,-0.2511475553730687,0.07947953516025641,62.5,19,67.78926482873851,6
2021,Ons Jabeur,98.18497109826589,6.991723065423747,2.5581930590115145,WC_DNCTL,173,-0.2204210602730093,0.20304297560346318,-1.9454012245422847,-0.2032717744833269,0.12735531604999822,64.58333333333334,18,69.96160540239488,6
2021,Petra Kvitova,98.75,5.2240140295222375,2.277518266288633,WC_DNCTL,32,-0.10101539110018787,-1.1039182678205013,-3.575826356059407,-0.0323110220432517,0.2983160684900734,91.66666666666666,5,57.2208298524088,6
2022,Ajla Tomljanovic,101.57396449704142,7.935500945790177,2.9222547781777704,WC_DNCTL,169,0.495763586850569,0.9008281240573113,0.16941418368729227,-0.31923570001898044,0.004588475712147433,46,28,67.85183792815371,5
2022,Anett Kontaveit,97.58730158730158,5.78550725641492,2.874305434519766,WBW_DNCTL,63,-0.3467245602919679,-0.6887764819894746,-0.10912103560099143,-0.5093058377151878,-0.1854816619840599,24,39,59.916959064327486,5
2022,Coco Gauff,104.9245283018868,9.768176462771208,2.626891326648721,WC_DNCTL,53,1.2038270363412724,2.255822539891502,-1.5463365954718031,0.033572890794505844,0.35739706652563374,96,3,84.54356725146198,5
2022,Garbine Muguruza,99.44827586206897,4.322583609837919,3.0157078239130697,WC_DNCTL,29,0.04654891281715378,-1.7703936878377835,0.7122780187524124,-0.5334076214404719,-0.20958344570934406,16,43,47.50952380952381,5
2022,Katie Boulter,103.3125,5.064269483037548,2.774802769107505,WC_DNCTL,64,0.8631624835695997,-1.222025901409279,-0.6871267936786899,-0.22512172404236658,0.0987024516887613,74,14,74.12456140350878,5
2022,Maria Sakkari,106.0701754385965,5.873243351732643,2.7067993499612033,WC_DNCTL,57,1.4459328163728964,-0.6239085235750772,-1.0821550843549126,-0.06985432037038558,0.2539698553607423,88,7,73.3092731829574,5
2022,Ons Jabeur,99.35897435897436,7.568543076673532,2.7115058813564206,WC_DNCTL,195,0.027677124661850343,0.6295166677234874,-1.0548150906397913,-0.25645754146892424,0.06736663426220363,64,19,69.96160540239488,6
2022,Petra Kvitova,99.45918367346938,5.620596085618397,3.047743958695411,WC_DNCTL,98,0.04885402414062795,-0.8107040755364564,0.8983742433512849,-0.5260619326906655,-0.2022377569595376,20,41,57.2208298524088,6
2023,Anett Kontaveit,95.10344827586206,7.504021910121678,2.482330892038569,WC_DNCTL,29,-0.8716289782240815,0.581812740011894,-2.3860805686476856,-0.24159346621151262,0.1010611837988461,73.33333333333333,17,59.916959064327486,5
2023,Coco Gauff,106.21818181818182,7.281867152426583,2.9862937993680077,WC_DNCTL,55,1.477210509853696,0.41756192019207095,0.5414134948238942,-0.22450414927663997,0.11815050073371874,75,16,84.54356725146198,5
2023,Donna Vekic,106.74603174603175,4.4971971700240925,2.509016678703318,WW_DCTL,63,1.5887592707477114,-1.641292602136074,-2.2310642352946966,0.09615477887151841,0.43880942888187713,98.33333333333333,2,82.4452798663325,5
2023,Katie Boulter,102.99107142857143,6.7229545410197264,2.742324540966542,WW_DCTL,112,0.7952360579568558,0.004328120548621376,-0.875791115381618,-0.13736253410399413,0.2052921159063646,85,10,74.12456140350878,5
2023,Madison Keys,102.82051282051282,7.19776524192944,2.9521068703953466,WC_DNCTL,195,0.7591924774144797,0.3553809077713135,0.34282341972067526,-0.31495860140933013,0.02769604860102859,51.66666666666667,30,67.78926482873851,6
2023,Maria Sakkari,103.3859649122807,7.180714215285552,2.928617345285818,WC_DNCTL,57,0.8786875779226093,0.3427741775167582,0.20637400189286823,-0.2806709487255155,0.06198370128484321,58.333333333333336,26,73.3092731829574,5
2023,Ons Jabeur,101.57589285714286,7.019738289753427,2.8871169615508903,WC_DNCTL,224,0.4961711007451902,0.22375611995080022,-0.0346995478641877,-0.31554123182633326,0.027113418184025462,50,31,69.96160540239488,6
2023,Petra Kvitova,99.7542372881356,4.349941429368859,2.844569219285061,WC_DNCTL,118,0.11120671830008232,-1.7501665977990142,-0.28185714832606124,-0.40586197343288727,-0.06320732342252855,38.333333333333336,38,57.2208298524088,6
2024,Ajla Tomljanovic,101.36111111111111,4.882345910246588,2.9115854196048736,WC_DNCTL,36,0.4507819922724766,-1.3565316679545887,0.10743644003008505,-0.3868497089529925,-0.09806702930426348,36.84210526315789,37,67.85183792815371,5
2024,Coco Gauff,108.94444444444444,8.59007032428144,2.648856034408223,WC_DNCTL,54,2.0533424780249994,1.3847860557334934,-1.418744761555749,0.12480608462186035,0.4135887642705893,98.24561403508771,2,84.54356725146198,5
2024,Donna Vekic,106.945,5.146299348553738,2.6965141412671074,WC_DNCTL,200,1.6308065667998455,-1.1613768619714824,-1.1419013215394862,-0.050175974407017654,0.23860670524171135,89.47368421052632,7,82.4452798663325,5
2024,Katie Boulter,103.30701754385964,5.453142623988996,2.8798365003000916,WC_DNCTL,114,0.8620038944387769,-0.9345113198181462,-0.07699136494253325,-0.28837560547788926,4.070741708397385e-4,52.63157894736842,28,74.12456140350878,5
2024,Madison Keys,99.69047619047619,6.598605530809786,2.429525304331712,WBW_DNCTL,84,0.09773229865561947,-0.08760971181055967,-2.692825454594018,-0.11823417894805913,0.17054850070066987,78.94736842105263,13,67.78926482873851,6
2024,Maria Sakkari,103.93939393939394,6.023454466547841,2.893845552676683,WW_DCTL,99,0.9956418843648255,-0.5128494627184632,0.004386484639011891,-0.22513850463177137,0.06364417501695763,61.40350877192983,23,73.3092731829574,5
2024,Ons Jabeur,95.3076923076923,8.751648196416841,2.3897809900833638,WW_DCTL,65,-0.8284667696708603,1.504249164416527,-2.923698088922105,-0.10463858916640689,0.1841440904823221,82.45614035087719,11,69.96160540239488,6
