"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","cluster","avg_welo","avg_welo_scaled","avg_welo_rescaled","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"coco gauff",0.588659793814433,1.12062958560725,1.53416829204924,0.204013930533624,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,"1",1564.79035012821,1.88883347546001,0.270789684991412,0.344521545634951,0.246256132923867,-0.0888569909704103,0.51500167846445,0.514365269054927,0.437408447265625,0.440667145124305
"cristina bucsa",0.498181818181818,-1.10531782863833,-1.05992183082773,0.744803932075662,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"3",1508.45749587616,-0.646657434749292,-0.834115751820812,-0.259960192531369,-0.26216426579132,-0.158866753686862,0.513519540673102,0.518852972958192,0.52710747718811,-0.172298961407351
"dalma galfi",0.570247933884298,0.788720236382845,0.911963958966499,0.964098968683876,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,"1",1540.56539391446,0.798490067590582,-0.204355524362878,0.233618617412724,0.340554428268496,0.333952946780067,0.516863557192523,0.533792710926621,0.539962232112885,0.447227692160827
"danielle collins",0.591289782244556,1.07860432339984,-0.170448940423532,-0.0556415798811029,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"1",1533.60981689553,0.485425825756867,-0.340781327145588,0.554679949366699,0.43324844609447,0.163447796286215,0.549461374372144,0.530357437060274,0.483073681592941,0.331343833394371
"daria kasatkina",0.530474040632054,-1.87384308113536,1.14988182842695,1.43085473584026,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"3",1522.18921931151,-0.0286049605031588,-0.564783475266356,-0.113903625571327,-0.185072328813892,-0.00573330872377464,0.501594980214857,0.507480473076778,0.519810438156128,-0.296895330637661
"dayana yastremska",0.527522935779816,0.523531411311512,0.0314320092971638,1.11530700250382,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,"1",1500,-1.02732168835158,-1,-0.0963384896808324,0.0717698074984462,0.0460117840075423,0.508209064026841,0.533224866457933,0.533157289028168,0.393102036384353
"diana shnaider",0.613065326633166,-0.401924171117523,-1.11156345655638,0.288894080076429,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,"3",1569.39762274114,2.09620265612783,0.361156143898676,0.488299906251115,0.392205802142698,0.470735609266702,0.511956982211631,0.513979389939861,0.517506003379822,0.0279547095681349
"diane parry",0.44,-0.246712722351637,0.588165726176871,0.445850070051202,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,"1",1508.21758508056,-0.657455603057578,-0.838821331644979,-0.767729645112503,-0.479897066299203,-0.429910381870631,0.491290071126867,0.531962699698673,0.541192412376404,0.0915841365262051
"donna vekic",0.576576576576577,1.81412590438774,-0.41069130072086,0.108429749737423,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,"4",1525.19718281284,0.106780760975499,-0.505785661814851,0.498386715464857,0.549902692435398,0.44852698346801,0.556726992552003,0.54974861537393,0.554842829704285,0.373462755707347
"ekaterina alexandrova",0.563131313131313,1.20494566607693,-0.0464485522158706,1.11896083772499,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"1",1519.36719513274,-0.155621720947045,-0.620134298499692,0.528757992284831,0.372691525812715,0.353861340696635,0.57798704220413,0.540898242774009,0.55191969871521,0.519402605066452
"elena rybakina",0.561933534743202,1.34860361865627,0.834362390576125,-0.739332941147854,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,"4",1529.25008993094,0.289198451225625,-0.426292457198529,0.334789923529416,0.565921640480188,0.404401236557339,0.544734159281405,0.559677943288714,0.563034176826477,0.133546199666608
