"match_id","year","ElapsedTime","SetNo","GameNo","PointNumber","player1","player2","ServeNumber","ServeIndicator","PointWinner","ServeWidth","ServeDepth","RallyCount","P1DistanceRun","P2DistanceRun","P1Score","P2Score","state","GameWinner","serving_player_won","speed_ratio","importance","P1BreakPoint","P2BreakPoint","P1GamesWon","P2GamesWon","P1Ace","P2Ace","P1DoubleFault","P2DoubleFault","Speed_MPH","player1_name","player2_name","player1_avg_welo","player2_avg_welo","ElapsedSeconds"
"2016-usopen-2101",2016,"0:21:04",1,7,39,"Serena Williams","Ekaterina Makarova",2,2,1,"BW","CTL",5,33.478,34.173,"0","0","0-0",1,0,0.837713534822602,26.12,0,0,5,2,0,0,0,0,85,"williams s.","makarova e.",1500,1500,1264
"2016-usopen-2101",2016,"0:23:39",1,8,40,"Serena Williams","Ekaterina Makarova",2,2,2,"C","NCTL",9,88.189,66.276,"0","15","15-0",0,1,0.847568988173456,18.7,0,0,5,2,0,0,0,0,86,"williams s.","makarova e.",1500,1500,1419
"2016-usopen-2101",2016,"0:24:25",1,8,41,"Serena Williams","Ekaterina Makarova",2,2,2,"B","NCTL",9,69.977,59.419,"0","30","30-0",0,1,0.818002628120894,10.63,0,0,5,2,0,0,0,0,83,"williams s.","makarova e.",1500,1500,1465
"2016-usopen-2101",2016,"0:25:08",1,8,42,"Serena Williams","Ekaterina Makarova",1,2,2,"BW","NCTL",5,40.823,40.41,"0","40","40-0",0,1,0.995400788436268,3.28,0,0,5,2,0,0,0,0,101,"williams s.","makarova e.",1500,1500,1508
"2016-usopen-2101",2016,"0:25:36",1,8,43,"Serena Williams","Ekaterina Makarova",1,1,2,"W","NCTL",3,14.573,25.125,"0","0","0-0",2,0,0.894984760321419,26.12,0,0,5,3,0,0,0,0,95,"williams s.","makarova e.",1500,1500,1536
"2016-usopen-2101",2016,"0:26:10",1,9,44,"Serena Williams","Ekaterina Makarova",1,1,1,"BW","NCTL",3,21.201,27.477,"15","0","15-0",0,1,0.923247436963148,18.7,0,0,5,3,0,0,0,0,98,"williams s.","makarova e.",1500,1500,1570
"2016-usopen-2101",2016,"0:26:31",1,9,45,"Serena Williams","Ekaterina Makarova",2,1,2,"BW","NCTL",14,103.907,144.36,"15","15","15-15",0,0,0.819617622610141,32.48,0,0,5,3,0,0,0,0,87,"williams s.","makarova e.",1500,1500,1591
"2016-usopen-2101",2016,"0:27:27",1,9,46,"Serena Williams","Ekaterina Makarova",1,1,1,"W","CTL",1,1.594,2.136,"30","15","30-15",0,1,0.970351898032696,23.07,0,0,5,3,1,0,0,0,103,"williams s.","makarova e.",1500,1500,1647
"2016-usopen-2101",2016,"0:27:45",1,9,47,"Serena Williams","Ekaterina Makarova",2,1,2,"BW","NCTL",4,37.92,27.316,"30","30","30-30",0,0,0.800775838182322,45.31,0,0,5,3,0,0,0,0,85,"williams s.","makarova e.",1500,1500,1665
"2016-usopen-2101",2016,"0:28:25",1,9,48,"Serena Williams","Ekaterina Makarova",1,1,1,"W","CTL",1,1.486,3.566,"40","30","40-30",0,1,0.923247436963148,27.19,0,0,5,3,1,0,0,0,98,"williams s.","makarova e.",1500,1500,1705
"2016-usopen-2101",2016,"0:28:46",1,9,49,"Serena Williams","Ekaterina Makarova",1,2,1,"C","NCTL",1,3.146,8.868,"0","0","0-0",1,0,1.00525624178712,26.12,0,0,6,3,1,0,0,0,102,"williams s.","makarova e.",1500,1500,1726
"2016-usopen-2101",2016,"0:31:46",2,1,50,"Serena Williams","Ekaterina Makarova",1,2,2,"C","NCTL",1,13.081,8.885,"0","15","15-0",0,1,1.05453350854139,18.7,0,0,0,0,0,0,0,0,107,"williams s.","makarova e.",1500,1500,1906
"2016-usopen-2101",2016,"0:32:04",2,1,51,"Serena Williams","Ekaterina Makarova",1,2,2,"C","NCTL",1,9.131,3.435,"0","30","30-0",0,1,1.05453350854139,10.63,0,0,0,0,0,0,0,0,107,"williams s.","makarova e.",1500,1500,1924
"2016-usopen-2101",2016,"0:32:20",2,1,52,"Serena Williams","Ekaterina Makarova",2,2,1,"C","CTL",2,24.429,30.492,"15","30","30-15",0,0,0.837713534822602,23.07,0,0,0,0,0,0,0,0,85,"williams s.","makarova e.",1500,1500,1940
