"ServerName","avg_speed","sd_speed","ace_pct","location_entropy","win_rate","n_serves","overperf_lm","overperf_glm","overperf_rf","pred_lm","pred_glm","pred_rf","rf_weighted_baseline"
"arthur fils",95.3024691358025,7.0040711374915,0.0123456790123457,2.76143756377131,0.425925925925926,162,-0.0514039290987088,0.140326771462215,-0.0235795716867372,0.477329855024635,0.285599154463711,0.449505497612663,0.463515793568604
"arthur rinderknech",95.2486631016043,8.17140018905781,0,2.74029733754055,0.425133689839572,374,-0.0485033134409009,0.0892149876923594,-0.0198423564382751,0.473637003280473,0.335918702147213,0.444976046277847,0.16821429148082
"aslan karatsev",96.8811188811189,6.9514501937613,0.0034965034965035,2.85734443987125,0.531468531468531,286,0.0591703488940052,0.248300963328514,0.0249715308468113,0.472298182574526,0.283167568140018,0.50649700062172,0.283776626591523
"ben shelton",99.511013215859,9.64427531305405,0.0220264317180617,2.86307880526699,0.497797356828194,227,0.00644573635737422,0.178637552712659,0.0172777446275941,0.49135162047082,0.319159804115535,0.4805196122006,1.56191790256974
"benjamin bonzi",96.1004184100418,6.99206932443056,0.00418410041841004,2.65794012833226,0.502092050209205,239,0.0308329047642253,0.183591040721132,0.00982614606971771,0.47125914544498,0.318501009488073,0.492265904139487,0.175434035948042
"benoit paire",86.3492063492064,6.31475162374867,0,2.8722657759604,0.380952380952381,63,-0.0905244231093663,0.125654853606783,-0.0529831436118026,0.471476804061747,0.255297527345598,0.433935524564183,-0.700959257528954
"bernabe zapata miralles",84.53125,9.35268396602927,0,2.49915396991987,0.541666666666667,96,0.0631125798038583,0.14729413629553,0.0502826192250344,0.478554086862808,0.394372530371137,0.491384047441632,-0.537406183963052
"borna coric",92.4615384615385,7.35288404955184,0,2.57417930114347,0.446153846153846,65,-0.0241417254228211,0.102443810986758,-0.0143310826457234,0.470295571576667,0.343710035167088,0.46048492879957,-0.225427355737068
"borna gojo",92.945945945946,7.13834310212205,0,2.83016746526301,0.540540540540541,74,0.0687602551400177,0.249620765838751,0.0384673314084821,0.471780285400523,0.290919774701789,0.502073209132058,-0.115580812870383
"botic van de zandschulp",93.6931506849315,8.1859624009965,0.00273972602739726,2.69860887546964,0.446575342465753,365,-0.028828524239536,0.109454045815999,-0.0174994147331262,0.475403866705289,0.337121296649754,0.46407475719888,0.140903277814917
"brandon nakashima",94.9007633587786,8.01182551445391,0,2.87049946164769,0.473282442748092,262,-0.00112538898538578,0.166665386068895,0.00250205902892009,0.474407831733477,0.306617056679197,0.470780383719172,0.173298718825807
"cameron norrie",87.6974358974359,5.19672216176118,0,2.66330279628545,0.435897435897436,195,-0.0296129259309946,0.166368496766417,-0.0104531941188147,0.46551036182843,0.269528939131019,0.446350630016251,-0.855616850210582
"carlos alcaraz",93.3649122807018,6.90407513771615,0.00701754385964912,2.64382041747709,0.575438596491228,570,0.102082374375807,0.265597667121411,0.0465960843985013,0.473356222115421,0.309840929369817,0.528842512092727,0.061851033910982
"carlos taberner",92.3191489361702,6.15420105003828,0,2.77028282801415,0.638297872340426,47,0.170088208855813,0.359387546539249,0.0935812376502111,0.468209663484613,0.278910325801177,0.544716634690214,-0.332271033387308
"casper ruud",92.3645569620253,6.68726796124192,0.00506329113924051,2.80510967051013,0.508860759493671,395,0.0355995800883052,0.231925220135315,0.0138277717074355,0.473261179405366,0.276935539358356,0.495032987786235,-0.0483435779749143
"christopher eubanks",96.578313253012,10.4404472405928,0,2.78619645639219,0.493975903614458,83,0.0129113006065516,0.108316755206622,0.0112332161186538,0.481064603007906,0.385659148407836,0.482742687495804,0.621087666489547
"constant lestienne",87.3484848484848,6.64597605088957,0,2.50703790333434,0.409090909090909,66,-0.0598362759067993,0.0785678249712896,-0.0337935076295588,0.468927184997708,0.33052308411962,0.442884416720468,-0.730800822761287
"corentin moutet",85.169014084507,6.94653283034121,0.00469483568075117,2.65059260533865,0.492957746478873,213,0.018290870391706,0.19387384572471,0.000567157369284588,0.474666876087167,0.299083900754163,0.492390589109589,-0.611894409051942
"cristian garin",89.2553191489362,9.17247766443502,0,2.71277719308749,0.531914893617021,141,0.0534376985580206,0.177053025249461,0.0396440447966883,0.478477195059001,0.354861868367561,0.492270848820333,-0.131204713595533
