"ServerName","avg_speed","sd_speed","location_entropy","win_rate","n_serves","overperf_lm","overperf_glm","overperf_rf","pred_lm","pred_glm","pred_rf","rf_weighted_baseline"
"daria saville",83.32,5.06392469664917,2.51740581142552,0.36,25,-0.0941533464589596,0.089135240915015,-0.0508488325471781,0.45415334645896,0.270864759084985,0.410848832547178,1.495551373656
"dayana yastremska",89.3111111111111,5.16466236783561,2.79944164086142,0.555555555555556,45,0.0776734974115866,0.147458881520359,0.0308476928923533,0.477882058143969,0.408096674035196,0.524707862663202,8.73071416124218
"diana shnaider",79.1935483870968,5.40011947299138,2.09023489883169,0.483870967741935,31,0.0540061834340967,0.280128774060291,0.0665614604747854,0.429864784307839,0.203742193681644,0.41730950726715,-5.38377883479387
"diane parry",82.9583333333333,8.73141890280944,2.64827691340249,0.555555555555556,72,0.0549307915588041,0.0721106000976335,0.0279225944442849,0.500624763996751,0.483444955457922,0.527632961111271,-10.6307205813927
"donna vekic",90.325,5.96905015462491,2.83209559881665,0.5125,160,0.0228187824015376,0.0302679181915461,0.00939950249683452,0.489681217598462,0.482232081808454,0.503100497503165,7.33616141701595
"ekaterina alexandrova",92.6315789473684,4.67553178147094,2.56006000061681,0.552631578947368,38,0.0885496843847102,0.115112155648584,0.0507236097078695,0.464081894562658,0.437519423298784,0.501907969239499,13.5668695834204
"elena rybakina",89.7655172413793,6.69102204013126,2.79420325522553,0.482758620689655,435,-0.0120670376724603,-0.0306925412835857,0.0121955751482529,0.494825658362115,0.513451161973241,0.470563045541402,4.2336224198772
"elina svitolina",81.9753694581281,4.71088735166239,2.31675651805711,0.463054187192118,203,0.0251217084888071,0.238947727133849,0.00705952699279006,0.437932478703311,0.224106460058269,0.455994660199328,0.621819740380076
"elise mertens",86.5390625,6.22403563506943,2.81642211961322,0.5234375,128,0.036646133820429,0.109240747880152,0.0132773190337869,0.486791366179571,0.414196752119848,0.510160180966213,2.11383408842984
"emma navarro",81.7910447761194,6.20248560496378,2.65823674126987,0.432835820895522,67,-0.0392545838060351,0.124535551302469,-0.0238001959251022,0.472090404701557,0.308300269593053,0.456636016820625,-3.65257710357619
"emma raducanu",87.7592592592593,5.25712241571925,2.66136029164498,0.512345679012346,162,0.0427701211946034,0.138522114473677,0.0203012031584766,0.469575557817742,0.373823564538668,0.492044475853869,6.30982327494905
"fiona ferro",83.1904761904762,4.36599413214273,2.09998573290173,0.0476190476190476,21,-0.37659616200664,-0.172111732628963,-0.230494664410252,0.424215209625688,0.21973078024801,0.2781137120293,2.62193238808658
"garbine muguruza",84.0422535211268,4.22724705999512,2.63036137742001,0.408450704225352,71,-0.0435011897086896,0.161277144489565,-0.0225068905945878,0.451951893934042,0.247173559735787,0.43095759481994,5.3435804972553
"greet minnen",85.3111111111111,4.16054095161927,2.67117833912942,0.422222222222222,45,-0.0327909688839347,0.155062808807929,-0.0196783513466973,0.455013191106157,0.267159413414293,0.44190057356892,7.11872973617868
"harmony tan",79.2857142857143,6.75453132199348,2.62042122218563,0.428571428571429,42,-0.0443285005225205,0.139363014572515,-0.0263725965039564,0.472899929093949,0.289208413998913,0.454944025075385,-8.43229642491796
"harriet dart",75.5151515151515,7.95357219517688,2.53207732932906,0.454545454545455,132,-0.0219182835211429,0.175642040198245,-0.015940201081191,0.476463738066597,0.278903414347209,0.470485655626646,-16.9098516781724
"heather watson",76.679012345679,7.1183340053938,2.45288560632181,0.37037037037037,81,-0.0942695797464304,0.115850810777198,-0.0590421311141153,0.464639950116801,0.254519559593173,0.429412501484486,-13.0261357428866
"iga swiatek",81.3949579831933,5.6899029488953,2.63665936864501,0.5,238,0.035149810215762,0.226640660110792,0.0146099201370555,0.464850189784238,0.273359339889208,0.485390079862945,-2.47868246054438
"jaqueline cristian",89,6.65582451691749,2.72471980331905,0.285714285714286,21,-0.204060150579425,-0.204795288775908,-0.10753990804107,0.489774436293711,0.490509574490194,0.393254193755356,3.30112516475546
"jasmine paolini",82.0878048780488,6.37258970667216,2.61262336617395,0.51219512195122,205,0.0402928657878268,0.191009846355657,0.0209428714562588,0.471902256163393,0.321185275595563,0.491252250494961,-3.98048154977716
