"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","cluster","avg_welo","avg_welo_scaled","avg_welo_rescaled","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"alexander shevchenko",0.5,-0.458343858856627,-0.372900751949218,-1.1250784260934,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"2",1500,-0.855637019926784,-1,-0.316892355861615,-0.417469569906705,-0.317987286316099,0.541622883360861,0.528316635844631,0.543608546257019,-0.44155201245245
"alexander zverev",0.596570397111913,2.32914834536628,0.794753706413327,-0.368022267728917,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1573.71704562875,2.68316806289781,0.675712317364626,0.570095733175694,0.523931602102495,0.465085127069062,0.590567277039898,0.563688851387649,0.560518562793732,0.687784569340351
"alexandre muller",0.517482517482518,-0.884582431213367,0.210821246487462,0.645830962648204,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1512.99924608563,-0.231604983260697,-0.704505293228288,-0.16410810641716,-0.194835962185221,-0.297169748538735,0.548855297502027,0.540059072934287,0.523005902767181,-0.116619029226664
"alexei popyrin",0.573957016434892,0.86003738959433,0.280457526356584,0.479256860590871,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1514.04187456768,-0.18155334404611,-0.68080459585356,0.26548843463025,0.412119577584669,0.188440374890222,0.558853760819819,0.566514669421292,0.538308441638947,0.337288499343018
"andreas seppi",0.542857142857143,-0.925760807184244,-0.019634601812245,-0.646614649308484,-0.109766251701977,-0.251620477537952,-0.46654780684179,-1.5698157080643,5.16455755032498,"2",1514.36351005678,-0.166113152514665,-0.673493280727082,-0.163602949807421,-0.246055036575416,-0.0395933942646579,0.513113340198344,0.518820252524322,0.537587761878967,-0.317475266677757
"andrey rublev",0.590425531914894,-0.301315599485632,1.98553250674609,-0.328961776402065,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1554.09151316167,1.74103950287083,0.229590986681421,0.314466787166725,0.310321038257994,0.382723035828532,0.545824200971298,0.545719665955795,0.553076922893524,0.0837294100324041
"andy murray",0.547325102880658,-0.0564108006107852,0.87714178870692,-0.534489415621365,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1514.38227040026,-0.165212557566834,-0.673066826595895,0.026468415292317,0.0517666731028106,0.0507853329664273,0.546524495900773,0.546458428633587,0.54896479845047,0.0434990653016982
"arthur cazaux",0.519480519480519,-0.445175272162529,1.58171769630038,-0.31834971174368,-0.109766251701977,3.95044149734585,-0.46654780684179,-1.5698157080643,-0.192467983241925,"1",1500,-0.855637019926784,-1,0.000635253708070408,-0.180027482812218,-0.112677381752695,0.580462518276408,0.540313479485581,0.556283295154572,0.10892045378002
"arthur fils",0.543820224719101,0.618130723756986,-0.779031621731578,0.506397142609678,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1511.52308559612,-0.302468434159977,-0.738060901616898,0.0211496087925709,0.162089170913419,0.0542464710128485,0.550364365299906,0.559950310020126,0.554588973522186,0.193356025320114
"arthur rinderknech",0.545454545454545,0.873646366413107,0.404900200644435,0.229528253384629,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1517.36595735518,-0.0219799243056137,-0.605242608480773,0.0902436710287746,0.149550120973363,0.0447379059895067,0.562495538409061,0.557637456998631,0.55042177438736,0.326872914553504
