"ServerName","avg_speed","sd_speed","location_entropy","win_rate","serve_efficiency","n_serves","overperf_lm","overperf_glm","overperf_rf","overperf_xgb","pred_lm","pred_glm","pred_rf","pred_xgb","rf_weighted_baseline"
"aslan karatsev",106.636235955056,11.9438904526696,3.01950241868145,0.575842696629214,0.473314606741573,712,0.0552849100131687,0.471927831473677,0.0304389962979432,0.000136398867274956,0.418029696728404,0.528072168526323,0.44287561044363,0.473178207874298,0.652394935296212
"ben shelton",111.735694822888,13.4408270548227,2.92812978093874,0.5858310626703,0.438692098092643,734,-0.0135563181295785,0.33703009328786,0.0102949906549348,0.00139019412955405,0.452248416222222,0.66296990671214,0.428397107437708,0.437301903963089,1.76134702512189
"benjamin bonzi",107.802631578947,12.5861980701381,2.94305445233158,0.575657894736842,0.425986842105263,608,-0.000492909893240356,0.440459576005628,0.0071868136052326,0.00206346888291209,0.426479751998504,0.559540423994372,0.418800028500031,0.423923373222351,0.876367909566539
"benoit paire",101.441717791411,15.5162591582361,2.99986568708208,0.54601226993865,0.533742331288344,163,0.123293661104308,0.538436656217283,0.0507799975604972,0.000356637261396564,0.410448670184035,0.461563343782717,0.482962333727846,0.533385694026947,-1.12367542717077
"bernabe zapata miralles",99.7275641025641,14.4660421691938,2.8730186367525,0.528846153846154,0.487179487179487,312,0.0945650573000907,0.609951549280527,0.0473779343241934,0.00183287186500353,0.392614429879396,0.390048450719473,0.439801552855294,0.485346615314484,-1.3980740872982
"borna coric",104.606451612903,13.7894636862991,2.64816797993157,0.509677419354839,0.354838709677419,155,-0.0555365290174377,-0.472232070303746,-0.0314457404549373,0.000347446049413391,0.410375238694857,0.472232070303746,0.386284450132357,0.354491263628006,-0.0381930184821067
"borna gojo",110.678714859438,15.4573159926487,2.90978653155563,0.590361445783133,0.433734939759036,249,-0.0241558800646919,0.330441325603609,0.000796459326519727,0.000688747828265279,0.457890819823728,0.669558674396391,0.432938480432516,0.433046191930771,1.23398158139822
"botic van de zandschulp",107.221238938053,13.744262268813,2.87708169201124,0.564405113077679,0.393313667649951,1017,-0.0354315833592566,-0.558685824876921,-0.0206723998410224,0.000405154103960859,0.428745251009207,0.558685824876921,0.413986067490973,0.39290851354599,0.589454480844299
"brandon nakashima",108.691218130312,13.4096760636145,2.93799472102938,0.563739376770538,0.379603399433428,706,-0.0563173494176621,-0.594182682399616,-0.0233874520086958,-0.00230373581475646,0.43592074885109,0.594182682399616,0.402990851442124,0.381907135248184,0.994266381973642
"cameron norrie",101.962406015038,13.8704829684602,2.86338776736099,0.558270676691729,0.449248120300752,532,0.0482797498440712,0.568176064468087,0.0303271256403498,0.00249250244377253,0.400968370456681,0.431823935531913,0.418920994660402,0.446755617856979,-0.753811274268675
"carlos alcaraz",106.260210035006,12.823375709201,2.94975769019175,0.579346557759627,0.370478413068845,1714,-0.0492293409388589,-0.526979937792494,-0.0269101595464344,-0.00492743495743081,0.419707754007704,0.526979937792494,0.397388572615279,0.375405848026276,0.454413704078864
"carlos taberner",107.432,13.2964559915597,2.87990986541552,0.584,0.584,125,0.156661423656445,0.443642016183777,0.0874827608585023,0.00355453157424923,0.427338576343555,0.556357983816223,0.496517239141498,0.580445468425751,0.700723640716634
"casper ruud",105.81660899654,13.0420937257359,2.89727508286984,0.586505190311419,0.372837370242215,1156,-0.0447030239708683,-0.514543623049651,-0.0146755259802299,-4.8453007602367e-05,0.417540394213083,0.514543623049651,0.387512896222444,0.372885823249817,0.322701334895965
"christopher eubanks",107.350194552529,11.8763950644809,2.68261291441585,0.568093385214008,0.428015564202335,257,0.0133044502898714,0.49057177763258,-0.0102481472833938,0.000558946846987929,0.414711113912463,0.50942822236742,0.438263711485728,0.427456617355347,0.899227543826814
"constant lestienne",97.9462365591398,12.172956816314,2.94113223079364,0.462365591397849,0.317204301075269,186,-0.0539254246998771,-0.32029109814034,-0.00881474887381783,0.00074792356901271,0.371129725775146,0.32029109814034,0.326019049949087,0.316456377506256,-1.56044562881874
"corentin moutet",97.6272878535774,13.3943092691885,2.90641787944415,0.519134775374376,0.381031613976705,601,0.0052333624353183,-0.328955205970603,-0.0241691917930277,-0.000408012240182942,0.375798251541387,0.328955205970603,0.405200805769733,0.381439626216888,-1.79463614498316
"cristian garin",102.623376623377,14.9560458102085,3.01963024799682,0.550649350649351,0.477922077922078,385,0.0639790558104878,0.517371793863067,0.0265182125638662,-8.16623885910306e-05,0.41394302211159,0.482628206136933,0.451403865358212,0.478003740310669,-0.755234504360659
"daniel altmaier",104.002136752137,13.0042817741279,2.82530016559152,0.532051282051282,0.301282051282051,468,-0.10485337201285,-0.462219733926171,-0.04686997432422,-0.00204842977034742,0.406135423294901,0.462219733926171,0.348152025606271,0.303330481052399,-0.118651531261554
"daniel evans",104.705192629816,12.3022234003261,2.97600463485045,0.57035175879397,0.415410385259631,1194,0.00654444779106916,0.517288134670335,-0.00206666610230044,-0.000182136169430414,0.408865937468562,0.482711865329665,0.417477051361932,0.415592521429062,0.124975878454133
"daniil medvedev",107.476577139288,14.8325101475341,2.78670268974018,0.612742036227358,0.370393504059963,1601,-0.0642151211647867,-0.57421317727955,-0.0403726599325124,-0.0011075840824325,0.434608625224749,0.57421317727955,0.410766163992475,0.371501088142395,0.527305970228707
"david goffin",95.8731343283582,13.3376008201539,2.89239346693203,0.549751243781095,0.425373134328358,402,0.0596025936868082,0.709697333696709,0.00545017931424174,0.0016382905974317,0.36577054064155,0.290302666303291,0.419922955014116,0.423734843730927,-2.22817926581859
"denis kudla",104.634920634921,12.2929251240447,2.88411034003818,0.544973544973545,0.544973544973545,189,0.138382856571037,0.528665909198921,0.0793649385576861,0.00441067685525887,0.406590688402508,0.471334090801079,0.465608606415859,0.540562868118286,0.124133503717406
"denis shapovalov",109.299813780261,12.8928368679112,2.81868588388157,0.601489757914339,0.445065176908752,537,0.0112662403422333,0.41211367646547,-0.00856760609972351,-0.00284727769635024,0.433798936566519,0.58788632353453,0.453632783008476,0.447912454605103,1.23597243214855
"diego schwartzman",99.3709150326797,12.4202728982396,3.01686758906446,0.553921568627451,0.331699346405229,612,-0.0500321365497008,-0.36245221695734,-0.0352532791470688,0.000432019334992539,0.38173148295493,0.36245221695734,0.366952625552298,0.331267327070236,-1.24561387979761
"dominic stricker",104.602910602911,15.0726819614408,2.88823377501027,0.561330561330561,0.378378378378378,481,-0.0442314030884169,-0.51933120845233,-0.0133994242624336,-4.68323359618106e-05,0.422609781466795,0.51933120845233,0.391777802640812,0.37842521071434,-0.247704250160903
"dominic thiem",106.265217391304,13.4915179142078,2.85493960426408,0.552173913043478,0.352173913043478,230,-0.0695297247964315,-0.528899017622498,-0.0329388698501255,-0.00207255430843517,0.42170363783991,0.528899017622498,0.385112782893604,0.354246467351913,0.384621794256979
"dominik koepfer",103.299019607843,8.681206643537,2.97109090223181,0.475490196078431,0.269607843137255,204,-0.110626904261039,-0.386835475149254,-0.0660428450509227,-0.00121810915423376,0.380234747398294,0.386835475149254,0.335650688188178,0.270825952291489,0.243331822195963
"dusan lajovic",101.444444444444,12.9752350709418,2.87854092603998,0.543434343434343,0.472727272727273,495,0.0794234397390025,0.594122251329978,0.0364980638691023,0.000618789412758558,0.39330383298827,0.405877748670022,0.43622920885817,0.472108483314514,-0.770389272632818
"egor gerasimov",112.629213483146,11.1185574015941,2.66602709390815,0.49438202247191,0.49438202247191,89,0.0560534027415068,0.379094337919018,0.0174306391533268,0.000391243548875431,0.438328619730403,0.620905662080982,0.476951383318583,0.493990778923035,2.33526031831513
"emil ruusuvuori",108.748031496063,15.0200757210364,2.83611378581791,0.464566929133858,0.456692913385827,127,0.0131796640291966,0.387762613500703,0.026640326632021,0.00206057152410194,0.44351324935663,0.612237386499297,0.430052586753806,0.454632341861725,0.81571386588461
