"importance","n","WBC_DCTL","WBC_DNCTL","WBW_DCTL","WBW_DNCTL","WB_DCTL","WB_DNCTL","WC_DCTL","WC_DNCTL","WW_DCTL","WW_DNCTL"
15.93,404,0,0.164294428629524,0,0,0,0,0,0,0,0
15.93,72,0,0,0.0292801952013013,0,0,0,0,0,0,0
15.93,382,0,0,0,0.155347702318015,0,0,0,0,0,0
15.93,65,0,0,0,0,0.0264335095567304,0,0,0,0,0
15.93,261,0,0,0,0,0,0.106140707604717,0,0,0,0
15.93,126,0,0,0,0,0,0,0.0512403416022773,0,0,0
15.93,454,0,0,0,0,0,0,0,0.184627897519317,0,0
15.93,433,0,0,0,0,0,0,0,0,0.176087840585604,0
15.93,142,0,0,0,0,0,0,0,0,0,0.057747051647011
20.17,90,0.0527549824150059,0,0,0,0,0,0,0,0,0.0527549824150059
20.17,289,0,0.169402110199297,0,0,0,0,0,0,0,0
20.17,39,0,0,0.0228604923798359,0,0,0,0,0,0,0
20.17,275,0,0,0,0.161195779601407,0,0,0,0,0,0
20.17,38,0,0,0,0,0.022274325908558,0,0,0,0,0
20.17,186,0,0,0,0,0,0.109026963657679,0,0,0,0
20.17,102,0,0,0,0,0,0,0.05978898007034,0,0,0
20.17,358,0,0,0,0,0,0,0,0.209847596717468,0,0
20.17,239,0,0,0,0,0,0,0,0,0.140093786635404,0
23.09,150,0.0362669245647969,0,0,0,0,0,0,0,0,0
23.09,545,0,0.131769825918762,0,0,0,0,0,0,0,0
23.09,141,0,0,0.0340909090909091,0,0,0,0,0,0,0
23.09,784,0,0,0,0.189555125725339,0,0,0,0,0,0
23.09,92,0,0,0,0,0.0222437137330754,0,0,0,0,0
23.09,465,0,0,0,0,0,0.11242746615087,0,0,0,0
23.09,236,0,0,0,0,0,0,0.0570599613152805,0,0,0
23.09,897,0,0,0,0,0,0,0,0.216876208897485,0,0
23.09,608,0,0,0,0,0,0,0,0,0.147001934235977,0
23.09,218,0,0,0,0,0,0,0,0,0,0.0527079303675048
23.67,115,0.0447122861586314,0,0,0,0,0,0,0,0,0
23.67,424,0,0.164852255054432,0,0,0,0,0,0,0,0
