"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","cluster","avg_welo","avg_welo_scaled","avg_welo_rescaled","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"alexander zverev",0.390794223826715,2.32914834536628,0.794753706413327,-0.368022267728917,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1573.71704562875,2.68316806289781,0.675712317364626,0.0418010293804955,0.252772617302346,-0.0328290831587971,0.4981386013482,0.457230034843645,0.432179182767868,0.655910458757234
"alexandre muller",0.321678321678322,-0.884582431213367,0.210821246487462,0.645830962648204,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1512.99924608563,-0.231604983260697,-0.704505293228288,-0.438180413711245,-0.398846140039727,-0.431119004963544,0.393408207895457,0.40891023830117,0.414558738470078,-0.254435667530402
"alexei popyrin",0.4551201011378,0.86003738959433,0.280457526356584,0.479256860590871,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1514.04187456768,-0.18155334404611,-0.68080459585356,0.218336159027582,0.343591651893748,0.251189810427187,0.438701527706095,0.437548725097225,0.429383397102356,0.242226715760975
"andreas seppi",0.444897959183673,-0.925760807184244,-0.019634601812245,-0.646614649308484,-0.109766251701977,-0.251620477537952,-0.46654780684179,-1.5698157080643,5.16455755032498,"2",1514.36351005678,-0.166113152514665,-0.673493280727082,0.0956022374027785,-0.00890655828846554,-0.136268493747836,0.393160694077144,0.398288670155568,0.354010224342346,-0.43983361594285
"andrey rublev",0.418218085106383,-0.301315599485632,1.98553250674609,-0.328961776402065,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1554.09151316167,1.74103950287083,0.229590986681421,0.0411896297516093,-0.0915931255863625,0.0283885468577053,0.428735311855813,0.400807186157097,0.417727947235107,-0.0158989021375609
"andy murray",0.312757201646091,-0.0564108006107852,0.87714178870692,-0.534489415621365,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1514.38227040026,-0.165212557566834,-0.673066826595895,-0.432833100975881,-0.446797028570705,-0.521644394743288,0.418975416872667,0.407206793042189,0.403620988130569,-0.0309236115037361
"arthur cazaux",0.272727272727273,-0.445175272162529,1.58171769630038,-0.31834971174368,-0.109766251701977,3.95044149734585,-0.46654780684179,-1.5698157080643,-0.192467983241925,"1",1500,-0.855637019926784,-1,-1,-0.427345930999453,-0.682656952871913,0.190378555296648,0.428979491298634,0.408845126628876,0.210660445363862
"arthur fils",0.391011235955056,0.618130723756986,-0.779031621731578,0.506397142609678,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1511.52308559612,-0.302468434159977,-0.738060901616898,-0.071316610858164,0.147853200944051,-0.115245141150212,0.431898606670879,0.443970135056524,0.41370415687561,0.102551177617448
"arthur rinderknech",0.454545454545455,0.873646366413107,0.404900200644435,0.229528253384629,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1517.36595735518,-0.0219799243056137,-0.605242608480773,0.213721673848508,0.358319899261418,0.17712459224532,0.437468497829157,0.439672939258015,0.413566470146179,0.242054319256295
"aslan karatsev",0.473314606741573,0.379803647081478,-0.984985432469564,1.40295223633148,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"2",1531.35904916974,0.649761923396353,-0.287156118284768,0.216319977895558,0.136414890153761,0.325371636808729,0.391720217311609,0.402784652494728,0.427229940891266,0.181498687768223
"ben shelton",0.438692098092643,1.42816984130654,-0.0646875489081009,0.481482322227581,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1555.90392631243,1.82804484628066,0.270790183081358,0.180549168591306,0.305226878043973,0.11862527201033,0.458119233098713,0.440672927267676,0.416802108287811,0.381909124798621
